country,provinceState,Confirmed,Recovered,Deaths,Active,date
Jordan,,321298,308883,4239,8176,2021-01-26 05:22:02
Kazakhstan,,227165,196978,2961,27226,2021-01-26 05:22:02
Kenya,,100052,83418,1744,14890,2021-01-26 05:22:02
"Korea, South",,75875,64793,1371,9711,2021-01-26 05:22:02
Kosovo,,58399,51083,1466,5850,2021-01-26 05:22:02
Kuwait,,161777,154766,954,6057,2021-01-26 05:22:02
Kyrgyzstan,,84068,80182,1402,2484,2021-01-26 05:22:02
Laos,,44,41,0,3,2021-01-26 05:22:02
Latvia,,61231,49035,1114,11082,2021-01-26 05:22:02
Lebanon,,282249,168142,2374,111733,2021-01-26 05:22:02
Lesotho,,8044,2243,134,5667,2021-01-26 05:22:02
Liberia,,1927,1726,84,117,2021-01-26 05:22:02
Libya,,114429,93342,1782,19305,2021-01-26 05:22:02
Liechtenstein,,2454,2322,52,80,2021-01-26 05:22:02
Lithuania,,177243,154297,2674,55248,2021-01-26 05:22:02
Luxembourg,,49733,47109,566,2058,2021-01-26 05:22:02
MS Zaandam,,9,7,2,0,2021-01-26 05:22:02
Madagascar,,18743,17930,279,534,2021-01-26 05:22:02
Malawi,,19987,6780,518,12689,2021-01-26 05:22:02
Malaysia,,186849,145084,689,41076,2021-01-26 05:22:02
Maldives,,15102,13884,51,1167,2021-01-26 05:22:02
Mali,,7995,5731,324,1940,2021-01-26 05:22:02
Malta,,16861,13976,253,2632,2021-01-26 05:22:02
Marshall Islands,,4,4,0,0,2021-01-26 05:22:02
Mauritania,,16421,15305,417,699,2021-01-26 05:22:02
Mauritius,,568,525,10,33,2021-01-26 05:22:02
Mexico,Aguascalientes,19940,0,1592,18348,2021-01-26 05:22:02
Mexico,Baja California,40992,0,6582,34410,2021-01-26 05:22:02
Mexico,Baja California Sur,22347,0,910,21437,2021-01-26 05:22:02
Mexico,Campeche,7800,0,1000,6800,2021-01-26 05:22:02
Mexico,Chiapas,9165,0,1295,7870,2021-01-26 05:22:02
Mexico,Chihuahua,39775,0,4810,34965,2021-01-26 05:22:02
Mexico,Ciudad de Mexico,450590,0,21018,429572,2021-01-26 05:22:02
Mexico,Coahuila,57995,0,4995,53000,2021-01-26 05:22:02
Mexico,Colima,9157,0,875,8282,2021-01-26 05:22:02
Mexico,Durango,28081,0,1802,26279,2021-01-26 05:22:02
Mexico,Guanajuato,102976,0,6723,96253,2021-01-26 05:22:02
Mexico,Guerrero,29895,0,2970,26925,2021-01-26 05:22:02
Mexico,Hidalgo,30498,0,4348,26150,2021-01-26 05:22:02
Mexico,Jalisco,66323,0,7957,58366,2021-01-26 05:22:02
Mexico,Mexico,182039,0,23093,158946,2021-01-26 05:22:02
Mexico,Michoacan,38814,0,3340,35474,2021-01-26 05:22:02
Mexico,Morelos,16686,0,1748,14938,2021-01-26 05:22:02
Mexico,Nayarit,9459,0,1259,8200,2021-01-26 05:22:02
Mexico,Nuevo Leon,101527,0,6217,95310,2021-01-26 05:22:02
Mexico,Oaxaca,33451,0,2425,31026,2021-01-26 05:22:02
Mexico,Puebla,58724,0,6744,51980,2021-01-26 05:22:02
Mexico,Queretaro,43542,0,2589,40953,2021-01-26 05:22:02
Mexico,Quintana Roo,18209,0,2195,16014,2021-01-26 05:22:02
Mexico,San Luis Potosi,48054,0,3596,44458,2021-01-26 05:22:02
Mexico,Sinaloa,30321,0,4569,25752,2021-01-26 05:22:02
Mexico,Sonora,60706,0,5123,55583,2021-01-26 05:22:02
Mexico,Tabasco,51224,0,3420,47804,2021-01-26 05:22:02
Mexico,Tamaulipas,46258,0,3733,42525,2021-01-26 05:22:02
